Spotify ID            ,Title                                                                                           ,Artists                                                                                  ,Year,Rank,Acousticness,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo  ,Time Signature,Valence,Top 100
50kpGaPAhYJ3sGmk6vplg0,Love Yourself                                                                                   ,Justin Bieber                                                                            ,2016,1   ,0.835       ,0.378 ,0.0             ,4  ,0.28    ,-9.828  ,1   ,0.438      ,100.418,4             ,0.515  ,0
09CtPGIpYB4BrO8qb1RGsF,Sorry                                                                                           ,Justin Bieber                                                                            ,2016,2   ,0.0797      ,0.76  ,0.0             ,0  ,0.299   ,-3.669  ,0   ,0.045      ,99.945 ,4             ,0.41   ,0
1zi7xx7UVEFkmKfv06H8x0,One Dance                                                                                       ,Drake Featuring WizKid & Kyla                                                            ,2016,3   ,0.00776     ,0.625 ,0.0018          ,1  ,0.329   ,-5.609  ,1   ,0.0536     ,103.967,4             ,0.37   ,0
2wAJTrFhCnQyNSD3oUgTZO,Work Out                                                                                        ,Rihanna Featuring Drake                                                                  ,2016,4   ,0.0531      ,0.427 ,0.0             ,2  ,0.307   ,-6.903  ,1   ,0.106      ,93.004 ,4             ,0.216  ,0
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out                                                                                    ,twenty one pilots                                                                        ,2016,5   ,0.0462      ,0.637 ,2.29e-05        ,4  ,0.0602  ,-5.677  ,0   ,0.141      ,169.977,4             ,0.648  ,0
275a9yzwGB6ncAW4SxY7q3,Panda                                                                                           ,Desiigner                                                                                ,2016,6   ,0.0292      ,0.731 ,0.0             ,10 ,0.369   ,-5.503  ,0   ,0.414      ,145.245,4             ,0.266  ,0
62PaSfnXSMyLshYJrlTuL3,Hello                                                                                           ,Adele                                                                                    ,2016,7   ,0.33        ,0.43  ,0.0             ,5  ,0.0854  ,-6.134  ,0   ,0.0305     ,78.991 ,4             ,0.288  ,0
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down                                                                               ,The Chainsmokers Featuring Daya                                                          ,2016,8   ,0.157       ,0.869 ,0.00508         ,11 ,0.136   ,-5.094  ,1   ,0.172      ,159.803,4             ,0.422  ,0
1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"                ,Justin Timberlake                                                                        ,2016,9   ,0.0106      ,0.832 ,0.0             ,0  ,0.0968  ,-5.72   ,1   ,0.0682     ,113.035,4             ,0.7    ,0
7BKLCZ1jbUBVqRi2FVlTVw,Closer                                                                                          ,The Chainsmokers Featuring Halsey                                                        ,2016,10  ,0.414       ,0.524 ,0.0             ,8  ,0.111   ,-5.599  ,1   ,0.0338     ,95.01  ,4             ,0.661  ,0
5kqIPrATaCc2LqxVWzQGbk,7 Years                                                                                         ,Lukas Graham                                                                             ,2016,12  ,0.287       ,0.473 ,0.0             ,10 ,0.391   ,-5.829  ,1   ,0.0514     ,119.992,4             ,0.34   ,0
4pAl7FkDMNBsjykPXo91B3,Needed Me                                                                                       ,Rihanna                                                                                  ,2016,13  ,0.11        ,0.314 ,0.0             ,5  ,0.0825  ,-8.091  ,0   ,0.244      ,110.898,4             ,0.296  ,0
6Knv6wdA0luoMUuuoYi2i1,My House                                                                                        ,Flo Rida                                                                                 ,2016,14  ,0.0215      ,0.702 ,0.0             ,7  ,0.128   ,-4.792  ,0   ,0.0499     ,94.006 ,4             ,0.74   ,0
1MtUq6Wp1eQ8PC6BbPCj8P,I Took A Pill In Ibiza - Seeb Remix                                                             ,Mike Posner                                                                              ,2016,15  ,0.0353      ,0.714 ,8.42e-06        ,7  ,0.0843  ,-6.645  ,0   ,0.111      ,101.969,4             ,0.71   ,0
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign)                                                            ,Fifth Harmony Featuring Ty Dolla $ign                                                    ,2016,16  ,0.103       ,0.585 ,3.94e-06        ,8  ,0.0644  ,-5.861  ,1   ,0.0432     ,105.017,4             ,0.593  ,0
0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna)                                                       ,Calvin Harris Featuring Rihanna                                                          ,2016,17  ,0.199       ,0.927 ,0.119           ,9  ,0.148   ,-2.787  ,0   ,0.0332     ,123.962,4             ,0.465  ,0
76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean                                                                               ,DNCE                                                                                     ,2016,18  ,0.152       ,0.753 ,0.0             ,4  ,0.0371  ,-5.446  ,0   ,0.0517     ,119.002,4             ,0.896  ,0
40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I"                                                                                ,G-Eazy x Bebe Rexha                                                                      ,2016,19  ,0.0184      ,0.674 ,0.0             ,0  ,0.158   ,-6.518  ,0   ,0.0959     ,111.995,4             ,0.389  ,0
2Z8WuEywRWYTKe1NybPQEW,Ride                                                                                            ,twenty one pilots                                                                        ,2016,20  ,0.00835     ,0.713 ,0.0             ,6  ,0.113   ,-5.355  ,1   ,0.0393     ,74.989 ,4             ,0.566  ,0
6i0V12jOa3mr6uu4WYhUBr,Heathens                                                                                        ,twenty one pilots                                                                        ,2016,21  ,0.0841      ,0.396 ,3.58e-05        ,4  ,0.105   ,-9.348  ,0   ,0.0286     ,90.024 ,4             ,0.548  ,0
0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK                                                                                      ,Zayn                                                                                     ,2016,22  ,0.117       ,0.7   ,0.0             ,11 ,0.0939  ,-4.275  ,1   ,0.0456     ,124.944,4             ,0.438  ,0
5jsw9uXEGuKyJzs0boZ1bT,Stitches                                                                                        ,Shawn Mendes                                                                             ,2016,23  ,0.0151      ,0.754 ,0.0             ,1  ,0.0486  ,-6.684  ,1   ,0.0615     ,149.789,4             ,0.755  ,0
0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling                                                                                   ,Drake                                                                                    ,2016,24  ,0.00258     ,0.628 ,0.00019         ,2  ,0.0504  ,-7.863  ,1   ,0.0551     ,134.966,4             ,0.552  ,0
7zsXy7vlHdItvUSH8EwQss,Cold Water                                                                                      ,Major Lazer Featuring Justin Bieber & MO                                                 ,2016,25  ,0.0736      ,0.798 ,0.0             ,6  ,0.156   ,-5.092  ,0   ,0.0432     ,92.943 ,4             ,0.501  ,0
0t7fVeEJxO2Xi4H2K5Svc9,Send My Love (To Your New Lover)                                                                ,Adele                                                                                    ,2016,26  ,0.0355      ,0.533 ,3.48e-06        ,6  ,0.172   ,-8.363  ,0   ,0.0865     ,164.069,4             ,0.567  ,0
0zLCBJZSiELJf02ucPP9wb,Roses - Imanbek Remix                                                                           ,The Chainsmokers Featuring Rozes                                                         ,2016,27  ,0.0143      ,0.719 ,0.00777         ,8  ,0.359   ,-5.472  ,1   ,0.0474     ,121.955,4             ,0.863  ,0
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better                                                                                ,Shawn Mendes                                                                             ,2016,28  ,0.106       ,0.819 ,0.0             ,10 ,0.107   ,-4.078  ,0   ,0.341      ,82.695 ,4             ,0.747  ,0
3VlbOrM6nYPprVvzBZllE5,Too Good At Goodbyes                                                                            ,Drake Featuring Rihanna                                                                  ,2016,29  ,0.64        ,0.372 ,0.0             ,5  ,0.169   ,-8.237  ,1   ,0.0432     ,91.873 ,4             ,0.476  ,0
7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd)                                                                     ,Future Featuring The Weeknd                                                              ,2016,30  ,0.337       ,0.331 ,0.283           ,8  ,0.146   ,-7.789  ,1   ,0.0725     ,143.974,4             ,0.102  ,0
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?                                                                               ,Justin Bieber                                                                            ,2016,31  ,0.59        ,0.567 ,0.00142         ,5  ,0.0811  ,-8.118  ,0   ,0.0956     ,125.02 ,4             ,0.793  ,0
7fBv7CLKzipRk6EC6TWHOB,The Hills                                                                                       ,The Weeknd                                                                               ,2016,32  ,0.0671      ,0.564 ,0.0             ,0  ,0.135   ,-7.063  ,0   ,0.0515     ,113.003,4             ,0.137  ,0
7K5dzhGda2vRTaAWYI3hrb,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")"         ,P!nk                                                                                     ,2016,33  ,0.0114      ,0.701 ,0.0             ,7  ,0.108   ,-5.921  ,1   ,0.146      ,162.958,4             ,0.497  ,0
0qy5D3OJre7SPJNMOL9I71,Broccoli                                                                                        ,D.R.A.M. Featuring Lil Yachty                                                            ,2016,34  ,0.236       ,0.525 ,0.0             ,8  ,0.057   ,-7.39   ,1   ,0.132      ,145.99 ,4             ,0.708  ,0
3pXF1nA74528Edde4of9CC,Don't                                                                                           ,Bryson Tiller                                                                            ,2016,35  ,0.223       ,0.356 ,0.0             ,11 ,0.0963  ,-5.556  ,0   ,0.195      ,96.991 ,4             ,0.189  ,0
27GmP9AWRs744SzKcpJsTZ,Jumpman                                                                                         ,Drake & Future                                                                           ,2016,37  ,0.0559      ,0.553 ,0.0             ,1  ,0.332   ,-7.286  ,1   ,0.187      ,142.079,4             ,0.656  ,0
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)"                                                     ,gnash Featuring Olivia O'Brien                                                           ,2016,38  ,0.687       ,0.275 ,0.0             ,6  ,0.101   ,-13.4   ,0   ,0.3        ,92.6   ,4             ,0.18   ,0
1BZG99C7Co1r6QUC3zaS59,Same Old Love                                                                                   ,Selena Gomez                                                                             ,2016,40  ,0.0223      ,0.593 ,0.0             ,11 ,0.214   ,-4.01   ,0   ,0.0304     ,98.02  ,4             ,0.438  ,0
3O8NlPh2LByMU9lSRSHedm,Controlla                                                                                       ,Drake                                                                                    ,2016,41  ,0.0789      ,0.468 ,0.0             ,10 ,0.101   ,-11.083 ,0   ,0.185      ,92.287 ,4             ,0.349  ,0
