Spotify ID,Title,Artists,Year,Rank,Genres,Acousticness,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Top 50
1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,Adele,2011,1,"british soul, pop, pop soul, uk pop",0.138,0.769,0,8,0.0473,-5.114,1,0.0298,104.948,4,0.507,0
0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011,2,"dance pop, pop rap",0.0189,0.727,0,5,0.266,-4.21,0,0.142,129.993,4,0.359,0
4r6eNCsrZnQWJzzvFh4nlg,Firework,Katy Perry,2011,3,"dance pop, pop, pop rap, post-teen pop",0.141,0.832,0,8,0.113,-5.039,1,0.049,124.071,4,0.648,0
36ux3YuUsGTWPT8fXclS45,E.T.,Katy Perry Featuring Kanye West,2011,4,"dance pop, pop, pop rap, post-teen pop, chicago rap, rap",0.0181,0.869,0,1,0.369,-5.252,1,0.175,151.684,4,0.76,0
4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011,5,"pop, pop rap, dance pop",0.191,0.939,0,8,0.298,-3.206,1,0.161,129.024,4,0.53,0
2tJulUYLDKOg9XrtVkMgcJ,Grenade,Bruno Mars,2011,6,"dance pop, pop",0.146,0.558,0,2,0.118,-7.237,0,0.0593,110.443,4,0.227,0
3hlksXnvbKogFdPbpO9vel,Super Bass,Nicki Minaj,2011,8,"dance pop, hip pop, pop, pop rap, queens hip hop",0.271,0.86,4.56E-06,11,0.598,-4.357,1,0.203,126.979,4,0.667,0
7LcfRTgAVTs5pQGEQgUEzN,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5 Featuring Christina Aguilera,2011,9,pop,0.0111,0.758,0,11,0.308,-4.477,0,0.0471,128.047,4,0.62,0
0xuXRQJfxmdP6gvfDe2Z4L,Just Can't Get Enough - 2006 Remaster,The Black Eyed Peas,2011,10,"dance rock, new romantic, new wave, permanent wave, synthpop",0.41,0.766,0.052,0,0.177,-9.374,1,0.0348,128.177,4,0.923,0
3C0nOe05EIt1390bVABLyN,On The Floor,Jennifer Lopez Featuring Pitbull,2011,11,"pop, pop rap, dance pop",0.105,0.777,0.000478,3,0.0691,-5.194,0,0.0496,130,4,0.575,0
7ySUcLPVX7KudhnmNcgY2D,S&M,Rihanna,2011,12,"barbadian pop, dance pop, pop, pop rap, urban contemporary",0.0105,0.684,0.000125,1,0.0887,-5.019,1,0.0411,127.972,4,0.835,0
7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,2011,13,"indietronica, modern alternative rock, modern rock, pop rock, rock",0.145,0.71,0.115,5,0.0956,-5.849,0,0.0292,127.975,4,0.965,0
3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),Katy Perry,2011,14,"dance pop, pop, pop rap, post-teen pop",0.00125,0.812,3.01E-05,3,0.667,-3.797,0,0.0409,126.023,4,0.72,0
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,2011,15,"dance pop, pop",0.0151,0.843,0,5,0.0876,-5.413,1,0.0432,109.012,4,0.434,0
1gv4xPanImH17bKZ9rOveR,Raise Your Glass,P!nk,2011,17,"dance pop, pop",0.0048,0.709,0,7,0.0289,-5.006,1,0.0839,122.019,4,0.625,0
6r2BECwMgEoRb5yLfp0Hca,Born This Way,Lady Gaga,2011,18,"dance pop, pop",0.00327,0.828,0,11,0.331,-5.108,1,0.161,123.907,4,0.494,0
3MGJF1CDFGfjXESL2Heva0,F**kin' Perfect,P!nk,2011,19,"dance pop, pop",0.0412,0.646,0,7,0.362,-4.748,1,0.0331,91.954,4,0.485,0
